	Silent/kb	TotMissense	TotSplicing	TotLOF	Missense/kb	LOF/kb	LOF/silent	Splicing/silent	Missense/silent	Hifi/Lofi	LOF/benign	Splicing/benign	Missense/benign	Hifi/benign	avgPolyphen2	LOF/tot	Missense/tot	Splicing/tot	LOF/missense	Mifi/kb	Nonstop/kb	Inframe/kb	Complex/kb	Compound/benign	Compound/kB	Damaging/kb	Damaging/benign	Damaging/Lofi	MissenseEntr	HiMisFreq	FSEntr	HiFSFreq	SplicEntr	HiSplicFreq	NonsenseEntr	HiNonsenseFreq	TotMifi	Label
ABCA4_ENST00000535735	0.0	1	0	1	0.0003401360544217687	0.0003401360544217687	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.5	0.5	0.0	1.0	0.0	0.0	0.0	0.0	56.0	0.0003401360544217687	0.0	56.0	8.0	0.0	1.0	0	0	0	0	0.0	1.0	0	Unlabeled
MSL1_ENST00000398532	0.0	1	0	0	0.0005420054200542005	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0005420054200542005	0.0	56.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
ZNF711	0.0	3	0	1	0.0012953367875647669	0.0004317789291882556	48.0	48.0	48.0	0.0	1.0	0.0	3.0	0.0	0.007	0.25	0.75	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	2.0	0.0008635578583765112	0.0	0.0	0.0	2.220446049250313e-16	0.3333333333333333	0	0	0	0	0.0	1.0	0	Unlabeled
ECT2_ENST00000427830	0.00035919540229885057	1	0	1	0.00035919540229885057	0.00035919540229885057	1.0	0.0	1.0	8.0	1.0	0.0	1.0	0.0	0	0.3333333333333333	0.3333333333333333	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.00035919540229885057	0.0	0.0	8.0	0.0	1.0	0	0	0	0	0.0	1.0	0	Unlabeled
ERN1	0.00034083162917518747	2	0	0	0.0006816632583503749	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.007	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.00034083162917518747	0.0	0.0	0.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
TBKBP1_ENST00000361722	0.0005411255411255411	0	0	0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0	0	0	0	0	0	0	0	0	Unlabeled
KL_ENST00000426690	0.0	1	0	0	0.0013717421124828531	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0.948	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0013717421124828531	0.0013717421124828531	56.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
CTU2_ENST00000567949	0.0	1	0	0	0.0005678591709256105	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0005678591709256105	0.0005678591709256105	56.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
KRT74	0.0006289308176100629	1	0	0	0.0006289308176100629	0.0	0.0	0.0	1.0	8.0	0.0	0.0	1.0	0.0	0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0006289308176100629	0.0	0.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
Q7Z4S1_HUMAN	0.0	2	0	0	0.004629629629629629	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.004629629629629629	0.0	56.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
SLC30A6	0.0	1	0	0	0.0007215007215007215	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0007215007215007215	0.0	56.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
ZNF354C	0.0	2	0	0	0.0012012012012012011	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0012012012012012011	0.0	56.0	8.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
CSMD3	0.00026968716289104636	9	0	2	0.0008090614886731392	0.00017979144192736425	0.6666666666666666	0.0	3.0	2.0	0.5	0.0	2.25	0.5	0.6503333333333333	0.14285714285714285	0.6428571428571429	0.0	0.2222222222222222	0.0	0.0	0.0	0.0	2.0	0.000719165767709457	0.00017979144192736425	0.5	2.0	0.03624967113471511	0.1111111111111111	0	0	0	0	0.0	0.5	0	Unlabeled
ATG9A	0.0	2	0	0	0.0007936507936507937	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0007936507936507937	0.0003968253968253968	56.0	8.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
WDR49_ENST00000453925	0.0	3	0	0	0.0015082956259426848	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0.999	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0015082956259426848	0.0005027652086475615	56.0	8.0	2.220446049250313e-16	0.3333333333333333	0	0	0	0	0	0	0	Unlabeled
SAMD9	0.0	3	0	0	0.0006289308176100629	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0006289308176100629	0.00020964360587002095	56.0	8.0	2.220446049250313e-16	0.3333333333333333	0	0	0	0	0	0	0	Unlabeled
OR1N1	0.0	1	0	0	0.0010683760683760685	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0010683760683760685	0.0	56.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
AOX1	0.00024894199651481205	2	0	0	0.0004978839930296241	0.0	0.0	0.0	2.0	8.0	0.0	0.0	2.0	0.0	0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0004978839930296241	0.0	0.0	8.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
SPIRE2	0.0	1	0	0	0.0004662004662004662	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0004662004662004662	0.0	56.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
DPCR1_ENST00000462446	0.0	4	0	1	0.0009564801530368245	0.00023912003825920613	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.2	0.8	0.0	0.25	0.0	0.0	0.0	0.0	56.0	0.0009564801530368245	0.0	56.0	8.0	0.0	0.25	0	0	0	0	0.0	1.0	0	Unlabeled
TXLNA	0.0	2	0	0	0.001218769043266301	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.001218769043266301	0.0	56.0	8.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
DNAH17	0.0002990877822640945	5	0	0	0.00037385972783011815	0.0	0.0	0.0	1.25	8.0	0.0	0.0	1.25	0.0	0.697	0.0	0.5555555555555556	0.0	0.0	7.477194556602363e-05	0.0	0.0	0.0	1.25	0.00037385972783011815	7.477194556602363e-05	0.25	8.0	-2.220446049250313e-16	0.2	0	0	0	0	0	0	1	Unlabeled
TRPS1_ENST00000395715	0.0005148005148005148	3	0	1	0.0007722007722007722	0.0002574002574002574	0.5	0.0	1.5	8.0	0.5	0.0	1.5	0.0	0	0.16666666666666666	0.5	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	1.5	0.0007722007722007722	0.0	0.0	8.0	2.220446049250313e-16	0.3333333333333333	0	0	0	0	0.0	1.0	0	Unlabeled
PREX2_ENST00000354677	0.0	2	0	0	0.0006802721088435374	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0006802721088435374	0.0	56.0	8.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
CAPN3_ENST00000397163	0.0	3	0	1	0.0012165450121654502	0.00040551500405515005	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.25	0.75	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	56.0	0.0012165450121654502	0.0	56.0	8.0	2.220446049250313e-16	0.3333333333333333	0	0	0	0	0.0	1.0	0	Unlabeled
C17orf70_ENST00000327787	0.0	4	0	0	0.0015117157974300832	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0015117157974300832	0.0003779289493575208	56.0	8.0	0.0	0.25	0	0	0	0	0	0	0	Unlabeled
GALNTL4	0.0005482456140350877	0	0	0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0	0	0	0	0	0	0	0	0	Unlabeled
PCDH19	0.0	5	0	1	0.001450536698578474	0.0002901073397156948	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.16666666666666666	0.8333333333333334	0.0	0.2	0.0	0.0	0.0	0.0	56.0	0.001450536698578474	0.0	56.0	8.0	-2.220446049250313e-16	0.2	0	0	0	0	0.0	1.0	0	Unlabeled
RNF151	0.0	1	0	0	0.0013605442176870747	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0013605442176870747	0.0	56.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
SCN7A_ENST00000409855	0.0003961180431768667	5	0	0	0.0009902951079421667	0.0	0.0	0.0	2.5	8.0	0.0	0.0	2.5	0.5	0.983	0.0	0.7142857142857143	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0009902951079421667	0.00019805902158843335	0.5	8.0	-2.220446049250313e-16	0.2	0	0	0	0	0	0	0	Unlabeled
NAALADL1	0.000449842555105713	0	0	0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0	0	0	0	0	0	0	0	0	Unlabeled
ABCC1	0.0	1	0	0	0.0002175805047867711	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0002175805047867711	0.0	56.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
MAPK9_ENST00000425491	0.0013717421124828531	2	0	0	0.0027434842249657062	0.0	0.0	0.0	2.0	8.0	0.0	0.0	2.0	1.0	0.979	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0027434842249657062	0.0013717421124828531	1.0	8.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
TUB	0.0	1	0	0	0.0005931198102016608	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0005931198102016608	0.0	56.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
DACH2_ENST00000373125	0.0005555555555555556	1	0	1	0.0005555555555555556	0.0005555555555555556	1.0	0.0	1.0	8.0	1.0	0.0	1.0	0.0	0	0.3333333333333333	0.3333333333333333	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0005555555555555556	0.0	0.0	8.0	0.0	1.0	0	0	0	0	0.0	1.0	0	Unlabeled
ELAVL2_ENST00000359598	0.0	0	0	1	0.0	0.000859106529209622	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	1.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	56.0	8.0	0	0	0	0	0	0	0.0	1.0	0	Unlabeled
NAT8	0.0	1	0	0	0.0014619883040935672	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0014619883040935672	0.0	56.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
LTBP4_ENST00000396819	0.0	4	1	0	0.0008563476771569257	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	1.0	0.0	1.0	0.25	0.0	0.0	0.0	0.0	0.0	56.0	0.0008563476771569257	0.00021408691928923143	56.0	8.0	0.0	0.25	0	0	0.0	1.0	0	0	0	Unlabeled
SLFN12L_ENST00000449046	0.0	1	0	0	0.0005376344086021505	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0005376344086021505	0.0	56.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
OSBP2	0.0	1	0	0	0.0003635041802980734	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0003635041802980734	0.0	56.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
SETDB1	0.00025799793601651185	5	0	0	0.0012899896800825593	0.0	0.0	0.0	5.0	8.0	0.0	0.0	5.0	1.0	0.999	0.0	0.8333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0012899896800825593	0.00025799793601651185	1.0	8.0	-2.220446049250313e-16	0.2	0	0	0	0	0	0	0	Unlabeled
AMER1	0.0008281573498964803	1	0	0	0.00041407867494824016	0.0	0.0	0.0	0.5	8.0	0.0	0.0	0.5	0.0	0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.00041407867494824016	0.0	0.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
HACE1	0.0	0	0	1	0.0	0.0003663003663003663	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	1.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	56.0	8.0	0	0	0	0	0	0	0.0	1.0	0	Unlabeled
PMS1	0.0	1	0	0	0.0003572704537334762	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0003572704537334762	0.0	56.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
TRIM10_ENST00000376704	0.0	1	0	0	0.0008417508417508417	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0.745	0.0	1.0	0.0	0.0	0.0008417508417508417	0.0	0.0	0.0	56.0	0.0008417508417508417	0.0008417508417508417	56.0	8.0	0.0	1.0	0	0	0	0	0	0	1	Unlabeled
TFAP2E	0.0	1	0	0	0.0007524454477050414	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0007524454477050414	0.0	56.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
SYNDIG1	0.001287001287001287	1	0	0	0.001287001287001287	0.0	0.0	0.0	1.0	8.0	0.0	0.0	1.0	0.0	0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.001287001287001287	0.0	0.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
SDHA	0.0010025062656641604	3	0	0	0.0015037593984962407	0.0	0.0	0.0	1.5	8.0	0.0	0.0	1.5	0.0	0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0015037593984962407	0.0	0.0	8.0	2.220446049250313e-16	0.3333333333333333	0	0	0	0	0	0	0	Unlabeled
CANX_ENST00000415618	0.0005307855626326964	0	0	0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0	0	0	0	0	0	0	0	0	Unlabeled
SCRN2	0.0	3	0	0	0.002347417840375587	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.002347417840375587	0.0	56.0	8.0	2.220446049250313e-16	0.3333333333333333	0	0	0	0	0	0	0	Unlabeled
SEC31B	0.0002824858757062147	1	0	0	0.0002824858757062147	0.0	0.0	0.0	1.0	8.0	0.0	0.0	1.0	0.0	0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0002824858757062147	0.0	0.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
CAMKMT	0.0	2	0	0	0.00205761316872428	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0.974	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.00205761316872428	0.00102880658436214	56.0	8.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
RERGL_ENST00000229002	0.0	2	0	1	0.003236245954692557	0.0016181229773462784	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.3333333333333333	0.6666666666666666	0.0	0.5	0.0	0.0	0.0	0.0	56.0	0.003236245954692557	0.0	56.0	8.0	0.0	0.5	0	0	0	0	0.0	1.0	0	Unlabeled
OR2AE1	0.00102880658436214	1	0	0	0.00102880658436214	0.0	0.0	0.0	1.0	8.0	0.0	0.0	1.0	0.0	0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.00102880658436214	0.0	0.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
TMPRSS13_ENST00000526090	0.0006775067750677507	0	0	0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0	0	0	0	0	0	0	0	0	Unlabeled
NARS	0.0006071645415907711	0	0	0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0	0	0	0	0	0	0	0	0	Unlabeled
FBXO22_ENST00000453211	0.0	1	0	1	0.0012033694344163659	0.0012033694344163659	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.5	0.5	0.0	1.0	0.0	0.0	0.0	0.0	56.0	0.0012033694344163659	0.0	56.0	8.0	0.0	1.0	0	0	0	0	0.0	1.0	0	Unlabeled
XPNPEP2	0.0	3	0	0	0.0014814814814814814	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0014814814814814814	0.0	56.0	8.0	2.220446049250313e-16	0.3333333333333333	0	0	0	0	0	0	0	Unlabeled
NR0B1_ENST00000453287	0.0	2	0	0	0.0016625103906899418	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0.999	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0016625103906899418	0.0008312551953449709	56.0	8.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
COL21A1_ENST00000535941	0.0	2	0	0	0.0006958942240779402	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0.635	0.0	1.0	0.0	0.0	0.0003479471120389701	0.0	0.0	0.0	56.0	0.0006958942240779402	0.0003479471120389701	56.0	8.0	0.0	0.5	0	0	0	0	0	0	1	Unlabeled
PLGLB2	0.003436426116838488	0	0	0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0	0	0	0	0	0	0	0	0	Unlabeled
Q8N9G5_HUMAN	0.0	1	1	0	0.0008658008658008658	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0008658008658008658	0.0	56.0	8.0	0.0	1.0	0	0	0.0	1.0	0	0	0	Unlabeled
MYO9B_ENST00000319396	0.0	4	0	0	0.0006178560395427865	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0.954	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0006178560395427865	0.00015446400988569664	56.0	8.0	0.0	0.25	0	0	0	0	0	0	0	Unlabeled
ZNF829	0.0	0	0	3	0.0	0.0023094688221709007	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	1.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	56.0	8.0	0	0	0	0	0	0	2.220446049250313e-16	0.3333333333333333	0	Unlabeled
SDC4	0.0033500837520938024	0	0	0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0	0	0	0	0	0	0	0	0	Unlabeled
CRTAC1_ENST00000370591	0.0	1	0	0	0.0005159958720330237	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0005159958720330237	0.0	56.0	8.0	0.0	1.0	0	0	0	0	0	0	0	Unlabeled
SYTL2	0.0	6	0	0	0.0015710919088766694	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0015710919088766694	0.0	56.0	8.0	2.220446049250313e-16	0.16666666666666666	0	0	0	0	0	0	0	Unlabeled
MIOS	0.0	2	0	0	0.00076103500761035	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.00076103500761035	0.0	56.0	8.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
PCDHAC2	0.00033068783068783067	2	0	0	0.0006613756613756613	0.0	0.0	0.0	2.0	8.0	0.0	0.0	2.0	1.0	1.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0006613756613756613	0.00033068783068783067	1.0	8.0	0.0	0.5	0	0	0	0	0	0	0	Unlabeled
MXRA7	0.0016260162601626016	0	0	0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0	0	0	0	0	0	0	0	0	Unlabeled
HEXIM2	0.0	4	0	0	0.004645760743321719	0.0	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.004645760743321719	0.0	56.0	8.0	0.0	0.25	0	0	0	0	0	0	0	Unlabeled
LAMTOR2_ENST00000368302	0.0	0	0	1	0.0	0.002207505518763797	48.0	48.0	48.0	8.0	56.0	56.0	56.0	56.0	0	1.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	56.0	8.0	0	0	0	0	0	0	0.0	1.0	0	Unlabeled
