gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
CALCOCO1	1501666	272	56	103865769	28972755	0	57	13	0	1	22	46792557	0	0
CALR	1886809	335	40	65276967	14974449	0	57	15	0	14	195	263828607	0	0
CASP6	211934	473	25	45131037	11443719	0	18	5	0	14	126	261814014	0	0
CASP8	571730	386	37	88870551	20104392	0	180	11	0	1	32	44051049	0	0
CAV1	554882	159	0	27062007	7019922	0	52	4	0	5	58	91923594	0	0
CBX5	753625	205	59	29969667	6916077	0	28	5	0	21	291	453138042	0	0
CCBL1	1706086	201	24	65006970	17051349	0	70	12	0	3	76	140876127	0	0
CCDC28A	402265	482	22	41060313	11589102	0	49	12	0	4	84	112256445	0	0
CCDC71	1855373	203	40	64383900	23344356	0	36	13	0	9	141	226714404	0	0
CCDC84	1457410	180	55	51797886	13063701	0	25	11	0	17	262	359739849	0	0
CCDC85A	63834	739	-15	81269097	23531277	0	105	23	0	3	56	75786081	0	0
CCL17	749108	159	39	14392917	4112262	0	13	0	0	7	72	117490233	0	0
CCND1	441431	536	41	43926435	12399093	0	45	10	0	5	90	140709975	0	0
CCND3	467876	186	41	42264915	13499850	0	66	11	0	1	51	60583173	0	0
CD101	765941	540	24	151052937	42347991	0	82	24	0	2	87	140398440	0	0
CD300LG	1025836	241	19	54435549	16719045	0	57	12	0	17	356	443044308	0	0
CD3G	963668	192	48	28785834	7040691	0	39	4	0	50	755	1217125707	0	0
CD52	1021101	217	22	9470664	2492280	0	9	2	0	22	323	414694623	0	0
CD58	692758	418	19	38484957	9802968	0	58	6	0	7	109	162995112	0	0
CD70	836909	212	21	27477387	9283743	0	31	4	0	6	41	81559863	0	0
CD79B	1455216	404	25	35286531	9262974	0	43	8	0	2	117	96139701	0	0
CDC20	1088321	252	27	74456865	21620529	0	43	9	0	10	94	188312523	0	0
CDC42EP1	991778	176	51	54477087	19045173	0	96	22	0	0	22	19045173	0	0
CDC73	285984	442	-12	81767553	21662067	0	77	5	0	0	5	21662067	0	0
CDH1	924096	240	30	130761624	38028039	0	314	30	0	6	131	159755148	0	0
CDKN1A	904665	228	37	23552046	7788375	0	74	11	0	4	68	75370701	0	0
CDKN1B	791330	136	44	29575056	8120679	0	65	11	0	2	27	32441178	0	0
CDKN2A	225405	357	-15	49534065	12897549	0	339	11	0	11	138	189475587	0	0
CDKN2B	192919	212	-21	22887438	8515290	0	13	8	0	18	342	364163646	0	0
CELF1	1011926	219	40	79482963	20270544	0	50	15	0	2	44	70406910	0	0
CEP192	326004	417	52	380841153	104530377	0	176	24	0	0	24	104530377	0	0
CGB2	2070141	200	35	23157435	8120679	0	20	4	0	9	75	117033315	0	0
CHD3	1971623	337	29	315044961	86212119	0	189	28	0	0	28	86212119	0	0
CIAO1	904852	213	43	51091740	13956768	0	22	9	0	6	131	193670925	0	0
CIC	790787	299	37	225530571	80085264	0	230	53	0	5	112	182414127	0	0
CITED2	187396	504	14	40125708	10779111	0	17	12	0	10	194	252343350	0	0
CIZ1	1762678	201	44	134043126	37986501	0	70	7	0	1	9	41413386	0	0
CKAP2	345539	356	45	102453477	27394311	0	57	10	0	11	114	244118826	0	0
CLCA4	279475	692	-14	137906160	37425738	0	145	26	0	9	105	151634469	0	0
CLCN2	1447013	268	44	133233135	40541088	0	79	25	0	10	213	322085652	0	0
CLOCK	235221	384	22	130159323	33147324	0	78	10	0	4	45	147314517	0	0
CLSPN	1224684	303	25	206111556	50468670	0	98	19	0	0	19	50468670	0	0
CNDP1	162886	941	13	76097616	21599760	0	115	13	0	13	209	298284378	0	0
CNKSR2	90158	NaN	-2	158239011	40894161	0	144	19	0	1	33	60936246	0	0
CNN2	2387949	206	26	46667943	12772935	0	54	11	0	5	191	254191791	0	0
CNNM1	270704	575	-6	136016181	44424891	0	50	16	0	0	16	44424891	0	0
CNP	2081077	206	23	61123167	18505179	0	31	16	0	18	374	489733020	0	0
CNTN6	6599	831	-23	155975190	41849535	0	296	56	0	0	56	41849535	0	0
COBLL1	76781	413	-4	173566533	47810238	0	155	28	0	5	111	183431808	0	0
COL2A1	374433	246	47	218323728	73023804	0	201	39	0	1	45	83699070	0	0
COL3A1	205492	515	-5	215436837	71237670	0	292	54	0	1	76	103242699	0	0
COL8A1	226950	419	-2	103035009	36719592	0	121	32	0	1	36	44715657	0	0
COX7B2	86349	938	11	12316017	3260733	0	23	2	0	32	662	884551710	0	0
CPB1	276750	681	-16	63449295	17300577	0	80	13	0	16	182	251824125	0	0
CPT2	527317	391	27	96139701	28038150	0	50	3	0	0	3	28038150	0	0
CR1	442029	361	18	376479663	100418115	0	218	37	0	7	99	239861181	0	0
CREBBP	637890	242	39	361484445	102640398	0	480	85	0	1	88	108518025	0	0
CRIPAK	1018381	507	41	62722380	20831307	0	377	63	0	0	63	20831307	0	0
CS	2878071	171	46	69617688	20166699	0	100	8	0	18	251	461051031	0	0
CSDE1	600480	472	3	128290113	34393464	0	107	14	0	10	134	266175504	0	0
CSNK2A1	671817	229	40	60645480	15369060	0	61	6	0	9	244	408069312	0	0
CTCF	1074126	147	45	110989536	27581232	0	166	22	0	0	22	27581232	0	0
CTNNB1	305811	448	8	116223324	33687318	0	900	23	0	0	23	33687318	0	0
CTNND1	921177	497	8	145029927	40831854	0	109	16	0	1	18	46418715	0	0
CTSS	1818753	188	35	50697129	13042932	0	42	8	0	16	317	442940463	0	0
CTTNBP2NL	559406	335	23	93128196	27498156	0	58	9	0	5	73	258698664	0	0
CUL1	517446	532	0	120730197	29491980	0	97	9	0	3	54	128435496	0	0
CUL3	255624	463	20	117926382	29554287	0	100	14	0	1	23	55910148	0	0
CX3CR1	159083	507	38	56803215	16095975	0	55	22	0	2	52	48661767	0	0
CXCR2	694517	301	27	51216354	16511355	0	83	10	0	28	495	919298247	0	0
DAZAP1	2352825	221	38	66066189	18733638	0	57	14	0	5	106	188167140	0	0
DCAF10	477149	524	35	80729103	25566639	0	30	11	0	9	97	182663355	0	0
DCP1B	232517	618	29	91092834	26542782	0	97	9	0	0	9	26542782	0	0
DCUN1D1	232043	574	13	41247234	8972208	0	19	6	0	22	256	416916906	0	0
DDX3X	627364	NaN	54	101934252	25982019	0	182	12	0	1	48	90822837	0	0
DEDD2	790787	299	37	45774876	16345203	0	24	6	0	4	104	175518819	0	0
DEF6	682809	264	39	94748178	26002788	0	52	15	0	3	45	70033068	0	0
DEFB132	1010597	348	24	14434455	3883803	0	27	2	0	2	14	25047414	0	0
DEPDC5	557139	336	19	245157276	64570821	0	164	36	0	2	72	132070071	0	0
DIMT1L	176808	575	33	48454077	12980625	0	24	7	0	4	101	154043673	0	0
DKK2	48475	1014	-18	38713416	10633728	0	120	17	0	2	43	37674966	0	0
DKK4	535273	459	37	33500397	9429126	0	30	8	0	12	216	263496303	0	0
DMKN	954618	367	35	87520566	25130490	0	99	26	0	7	163	219819096	0	0
DNMT3A	330147	286	43	144406857	39523407	0	195	38	0	13	197	261190944	0	0
DONSON	908921	375	68	83304459	25047414	0	47	4	0	0	4	25047414	0	0
EBPL	425192	296	62	30447354	9117591	0	49	1	0	0	1	9117591	0	0
EDN1	198728	410	27	32731944	8079141	0	42	6	0	14	187	306446595	0	0
EEF1D	2183482	235	37	94478181	28640451	0	48	29	0	0	29	28640451	0	0
EFHC1	396934	431	34	97261227	25545870	0	65	13	0	1	21	39066489	0	0
EGFR	423489	336	-13	197118579	52047114	0	394	68	0	0	68	52047114	0	0
EHHADH	775543	587	35	105610365	31340421	0	77	18	0	1	44	71860740	0	0
EIF1AX	262207	NaN	37	23552046	5046867	0	48	2	0	31	478	779003652	0	0
EIF2AK2	603425	281	27	85609818	21308994	0	56	14	0	8	159	220795239	0	0
EIF3E	187290	965	6	69825378	16656738	0	51	20	0	1	35	36387288	0	0
EIF4E1B	579630	359	40	37093434	10072965	0	50	6	0	10	153	222228300	0	0
ELF3	751933	168	31	56678601	14849835	0	103	15	0	1	30	42763371	0	0
EMP3	1478750	217	36	24715110	7061460	0	17	1	0	1	7	16033668	0	0
ENC1	293932	567	26	85942122	24839724	0	75	20	0	0	20	24839724	0	0
EP300	1167197	154	42	359781387	99109668	0	362	37	0	0	37	99109668	0	0
ERBB2	1284992	226	38	185986395	55266309	0	271	43	0	6	95	115974096	0	0
ERGIC3	1515751	169	58	60687018	15389829	0	37	8	0	25	358	577502814	0	0
ESX1	354255	NaN	47	57966279	18982866	0	85	18	0	3	104	143679942	0	0
EZH2	564321	434	13	117054084	28245840	0	164	18	0	1	26	41974149	0	0
F9	69360	NaN	0	70469217	17757495	0	76	15	0	10	318	340362372	0	0
FAM107A	534993	383	31	21786681	6064548	0	24	4	0	5	49	124904766	0	0
FAM107B	256093	327	36	46273332	12108327	0	50	8	0	18	184	308772723	0	0
FAM170A	296413	644	-2	49596372	13084470	0	61	18	0	7	188	162579732	0	0
FAM193A	637151	209	46	183847188	49367913	0	125	32	0	5	109	177097263	0	0
FAM20C	195067	593	-4	40520319	13873692	0	45	14	0	2	58	64882356	0	0
FAM71F2	875359	304	30	45691800	13375236	0	16	9	0	12	175	281586102	0	0
FAT1	351973	513	-13	672375606	191884791	0	581	118	0	1	124	200919306	0	0
FGD6	370367	544	32	217513737	54954774	0	133	13	0	0	13	54954774	0	0
FGF18	300840	347	30	31111962	8764518	0	44	9	0	5	87	133648515	0	0
FGFBP1	175145	435	33	34518078	9657585	0	37	6	0	35	665	1040194596	0	0
FGFR1	841062	381	47	142703799	40852623	0	104	33	0	2	44	62701611	0	0
FLT1	198131	693	41	216454518	57073212	0	190	54	0	5	119	125880909	0	0
FLT3	346092	614	42	153316758	38339574	0	207	33	0	6	121	160004376	0	0
FOXA1	67481	487	-58	67623864	21038997	0	143	23	0	0	23	21038997	0	0
FOXC1	145123	487	20	78091440	25462794	0	38	9	0	1	15	70822290	0	0
FRK	230837	693	-4	76512996	19813626	0	61	17	0	2	65	69223077	0	0
FRMPD4	191024	NaN	22	195498597	55785534	0	10	0	0	0	0	55785534	0	0
GABPB2	1614665	165	40	66232341	19564398	0	37	11	0	6	42	85402128	0	0
GABRG1	36353	926	-2	70739214	18359796	0	180	19	0	3	90	87749025	0	0
GALNTL5	309129	476	12	67769247	17217501	0	72	9	0	3	25	54580932	0	0
GATA2	937778	274	52	69264615	21890526	0	90	25	0	3	67	72172275	0	0
GATA3	182932	675	-2	64425438	19751319	0	243	46	0	0	46	19751319	0	0
GGT7	1040878	205	48	96347391	31195038	0	69	16	0	2	53	74083023	0	0
GH2	1446139	380	27	51403275	11838330	0	44	12	0	5	73	68101551	0	0
GIGYF1	1884430	247	60	154209825	45172575	0	138	32	0	8	160	252717192	0	0
GIGYF2	325071	328	35	202975437	51237123	0	182	26	0	5	79	136888479	0	0
GLE1	1917147	160	39	106856505	28411992	0	59	18	0	28	508	770509131	0	0
GLYCTK	1113485	229	49	75931464	23012052	0	41	14	0	4	108	139297683	0	0
GNA13	811904	401	12	56117838	15285984	0	100	11	0	2	61	71839971	0	0
GNG2	204232	471	27	11111415	2845353	0	13	2	0	14	191	271222371	0	0
GOLIM4	147581	681	-8	109058019	24964338	0	74	8	0	3	32	95184327	0	0
GORAB	72379	883	-2	59274726	15805209	0	49	11	0	6	179	202954668	0	0
GPAT2	792288	366	33	117303312	36719592	0	58	18	0	6	126	244949586	0	0
GPR82	531498	NaN	45	49554834	13686771	0	23	3	0	6	102	203203896	0	0
GPRC6A	232554	730	-15	137906160	36864975	0	167	42	0	2	51	46605636	0	0
GPS2	1911735	206	36	50572515	13354467	0	42	5	0	12	242	439928958	0	0
GPX1	1661046	201	34	30758889	10426038	0	45	6	0	19	296	484042314	0	0
GRAMD3	234274	201	10	79919112	17591343	0	36	8	0	5	90	169288119	0	0
GRLF1	1201856	207	29	220795239	60832401	0	185	29	0	4	103	170555028	0	0
GSTM1	927739	201	22	34767306	8037603	0	14	3	0	9	67	130242399	0	0
H3F3A	866965	237	23	20021316	6334545	0	115	4	0	23	259	422399922	0	0
H3F3B	1885370	198	27	20021316	6334545	0	31	5	0	3	106	164469711	0	0
HAT1	537965	177	33	65546964	15576750	0	37	3	0	1	4	33479628	0	0
HCFC2	1209623	156	26	118674066	33105786	0	80	13	0	1	20	60562404	0	0
HDAC2	217826	610	14	76803762	17840571	0	63	10	0	1	13	32088105	0	0
HHATL	369022	329	34	75142242	22118985	0	67	16	0	14	238	390644121	0	0
HHIP	143634	1116	-6	105755748	28266609	0	116	16	0	2	43	77198373	0	0
HLA-G	514408	685	38	50323287	14538300	0	65	18	0	4	131	149432955	0	0
HMGN2	1003175	167	31	14683683	3572268	0	15	3	0	18	290	434612094	0	0
HNRNPA2B1	915230	445	43	55141695	13769847	0	58	7	0	14	145	248584161	0	0
HRAS	1970020	236	42	32088105	8972208	0	149	1	0	6	60	132028533	0	0
HRCT1	853975	298	55	16158282	5649168	0	49	5	0	7	60	63760830	0	0
HSPB9	2171374	206	37	22679748	7352226	0	18	5	0	9	180	271783134	0	0
HYAL2	843769	206	51	68184627	21163611	0	45	14	0	2	31	40250322	0	0
ICA1L	600089	387	25	75453777	18567486	0	35	7	0	1	21	51694041	0	0
ID3	1050775	159	32	17300577	5628399	0	38	2	0	35	500	791298900	0	0
IDH1	260367	539	17	63615447	15950592	0	514	11	0	8	103	157740555	0	0
IDH2	851518	192	38	68600007	18692100	0	121	4	0	1	4	33126555	0	0
IL23R	453952	581	-4	96264315	23988195	0	67	22	0	8	123	154002135	0	0
ITCH	996942	155	37	133544670	33500397	0	79	14	0	5	79	156805950	0	0
ITGA1	173759	379	9	179548005	48121773	0	129	18	0	0	18	48121773	0	0
JAK2	255685	634	28	174854211	42659526	0	229	23	0	0	23	42659526	0	0
KANK3	752886	204	7	115870251	40271091	0	71	20	0	1	32	63386988	0	0
KARS	449343	354	18	98860440	25878174	0	48	9	0	6	68	183057966	0	0
KBTBD4	995645	214	31	78423744	22700517	0	69	12	0	5	55	101934252	0	0
KCNE4	279069	585	3	24756648	7456071	0	34	14	0	1	28	21122073	0	0
KCNQ3	163210	970	-6	128061654	38609571	0	229	68	0	1	85	50842512	0	0
KCTD11	1911735	206	36	32067336	11485257	0	24	4	0	12	242	439928958	0	0
KCTD3	82180	597	-30	122682483	34081929	0	90	9	0	0	9	34081929	0	0
KDELR1	1478750	217	36	31838877	8972208	0	27	6	0	10	299	451268832	0	0
KDM5C	877207	NaN	80	234357396	69638457	0	183	32	0	3	90	186692541	0	0
KEAP1	1996822	207	30	91591290	26480475	0	160	30	0	3	82	80562951	0	0
KIAA0174	471197	218	31	53978631	15742902	0	63	12	0	1	15	21848988	0	0
KIAA0907	1988461	174	32	91155141	27165852	0	87	9	0	2	19	46148718	0	0
KIAA1045	676166	394	23	59440878	17259039	0	77	14	0	9	151	311908842	0	0
KIAA1239	NaN	NaN	NaN	255687159	71611512	0	109	27	0	1	40	94789716	0	0
KIAA1267	388537	357	21	161292054	48807150	0	138	28	0	17	215	391703340	0	0
KIAA1804	146614	392	5	149744490	46335639	0	183	25	0	5	51	93792804	0	0
KLF6	129035	476	2	42846447	10986801	0	30	8	0	8	89	146982213	0	0
KRAS	259193	512	16	35598066	8577597	0	1827	17	0	0	17	8577597	0	0
KRTAP4-5	996799	468	-7	27165852	6978384	0	162	9	0	2	19	17362884	0	0
LAMA5	1090360	252	21	542880891	167792751	0	330	150	0	0	150	167792751	0	0
LARP4B	378329	515	9	110594925	31651956	0	103	23	0	10	99	160938981	0	0
LCE1F	64902	818	18	17238270	4943022	0	55	12	0	3	83	40520319	0	0
LEFTY1	924499	239	8	52420956	17051349	0	45	14	0	1	34	50884050	0	0
LEFTY2	923085	239	20	52337880	17009811	0	37	13	0	8	148	234108168	0	0
LETM1	851373	239	44	109743396	31818108	0	48	15	0	2	23	45151806	0	0
LGALS9	186737	462	-5	53874786	15161370	0	47	10	0	4	68	90905913	0	0
LMNB1	237464	579	37	88122867	24092040	0	42	15	0	10	179	350393799	0	0
LRFN5	8637	1309	-33	105049602	30530430	0	223	44	0	8	241	165612006	0	0
LUC7L2	545432	339	30	60375483	15327522	0	69	4	0	8	110	214315311	0	0
LZTS2	1020226	247	40	93502038	32731944	0	72	6	0	0	6	32731944	0	0
MADCAM1	1509324	255	-16	53625558	19086711	0	109	11	0	0	11	19086711	0	0
MAGEA8	275638	NaN	NaN	46211025	13666002	0	45	14	0	4	127	143763018	0	0
MAP2K4	45834	583	-52	61538547	15846747	0	122	9	0	2	37	54497856	0	0
MAPK15	2190348	229	30	79379118	25857405	0	55	15	0	6	69	113336433	0	0
MBD6	1347795	303	44	138238464	52171728	0	125	24	0	5	88	147044520	0	0
MBNL3	143759	NaN	34	58049355	16407510	0	36	4	0	3	17	71216901	0	0
MCEE	355097	470	40	26002788	7829913	0	30	5	0	5	41	103969614	0	0
MCM2	679358	336	45	135185421	37841118	0	5	1	0	0	1	37841118	0	0
MCRS1	2227486	224	53	72213813	20748231	0	35	7	0	5	86	157179792	0	0
MED12	759088	NaN	27	326550987	91528983	0	289	54	0	2	73	121934799	0	0
MED23	147816	864	7	209496903	55058619	0	119	21	0	3	44	102848088	0	0
MED29	1748498	252	32	32648868	9719892	0	19	5	0	8	242	306571209	0	0
MEF2A	197556	416	12	82702158	22970514	0	99	14	0	5	52	107583420	0	0
MEN1	2261775	230	61	89306700	28079688	0	102	17	0	0	17	28079688	0	0
MEPCE	1479297	186	60	96928923	32794251	0	63	9	0	1	11	45359496	0	0
MFSD7	639827	489	12	83429073	27788922	0	45	18	0	2	22	38858799	0	0
MGA	765304	256	41	449586543	129245487	0	280	68	0	3	113	215935293	0	0
MICALL1	1370748	203	50	126836283	38526495	0	59	24	0	0	24	38526495	0	0
MIP	2793663	184	61	37446507	12772935	0	42	10	0	7	107	171593478	0	0
MLL4	1151198	321	30	388234917	128414727	0	315	60	0	5	128	234461241	0	0
MLLT4	138570	643	-2	280277655	76492227	0	173	33	0	2	65	140294595	0	0
MLXIP	776345	NaN	34	135434649	40520319	0	77	26	0	26	456	812566356	0	0
MRPL51	2764720	179	42	19502091	5109174	0	25	4	0	34	555	876431031	0	0
MRPS15	581032	347	31	39440331	10654497	0	20	8	0	9	128	243578832	0	0
MRPS33	354283	679	10	16282896	4216107	0	11	3	0	36	751	858735843	0	0
MS4A2	336373	691	4	39398793	11069877	0	52	9	0	6	81	145798380	0	0
MSH2	793002	406	28	141810732	36823437	0	67	14	0	4	50	116431014	0	0
MT1G	661565	143	26	10135272	2076900	0	10	0	0	50	603	1185930669	0	0
MTDH	605177	163	38	87188262	24528189	0	63	5	0	6	37	133876974	0	0
MTM1	287123	NaN	16	92692047	23697429	0	77	8	0	2	22	61683930	0	0
MYB	150100	410	32	115496409	30675813	0	79	17	0	6	155	235250463	0	0
MYC	406323	204	23	66294648	19252863	0	131	31	0	0	31	19252863	0	0
MYCN	169653	1491	-12	66211572	20955921	0	80	15	0	11	353	346572303	0	0
MYD88	302137	411	32	47706393	12731397	0	81	5	0	9	139	279197667	0	0
MYL12A	551966	328	55	26812779	6085317	0	16	4	0	7	94	138778458	0	0
MYST2	1129239	238	27	93605883	24278961	0	75	10	0	9	102	191095569	0	0
NACA2	323585	358	-8	31319652	9304512	0	52	6	0	1	21	40748778	0	0
NAP1L5	177679	486	8	27186621	7019922	0	35	3	0	4	104	164137407	0	0
NCL	1052303	216	43	108393411	27747384	0	64	16	0	3	63	92588202	0	0
NCOR1	954548	370	-18	365015175	102474246	0	306	46	0	1	60	130907007	0	0
NDUFA6	1321127	363	65	23240511	6355314	0	36	8	0	26	443	473740890	0	0
NDUFAF3	1799657	241	41	26833548	8743749	0	17	4	0	20	440	713373612	0	0
NDUFC2	556958	209	38	17840571	5088405	0	27	6	0	4	135	132236223	0	0
NDUFS1	311488	433	24	110034162	30530430	0	70	6	0	0	6	30530430	0	0
NF1	462449	396	26	433012881	115724868	0	509	56	0	0	56	115724868	0	0
NF2	734742	149	38	94644333	23365125	0	108	6	0	2	53	128144730	0	0
NFATC4	897133	265	40	139359990	47623317	0	128	32	0	4	134	210701505	0	0
NFE2L2	372300	145	36	90407457	23863581	0	262	9	0	6	66	123409398	0	0
NFKB1	376672	311	41	146296836	40748778	0	83	23	0	7	142	229310529	0	0
NFKBIE	1037256	312	54	69991530	25026645	0	59	12	0	1	39	71383053	0	0
NHLRC1	487819	397	-1	55515537	18629793	0	38	14	0	9	236	311908842	0	0
NIPBL	341972	479	11	427820631	110636463	0	281	46	0	5	91	217472199	0	0
NONO	728362	NaN	26	71860740	18858252	0	67	6	0	7	99	192881703	0	0
NOTCH1	1489379	212	43	378868098	107126502	0	487	91	0	2	140	153815214	0	0
NOTCH2	429750	510	14	370477422	99815814	0	386	69	0	0	69	99815814	0	0
NPM1	300840	347	30	47415627	10903725	0	102	5	0	21	267	430001376	0	0
NRAS	600650	472	11	29221983	7539147	0	521	5	0	2	36	46418715	0	0
NRIP1	103852	526	8	170056572	46584867	0	118	15	0	0	15	46584867	0	0
NT5C2	562038	150	47	87541335	21745143	0	60	9	0	13	151	308565033	0	0
NUP98	449630	310	25	271180833	77800674	0	164	19	0	1	26	93294348	0	0
NUSAP1	897414	237	24	67291560	17819802	0	50	4	0	5	39	83969067	0	0
OR10T2	135429	902	5	44591043	14164458	0	92	28	0	2	85	43241058	0	0
OR2J2	162844	808	12	44694888	13873692	0	74	14	0	1	33	48225618	0	0
OR2T3	112460	903	-20	45857952	13769847	0	90	34	0	2	125	42431067	0	0
OR2T35	141426	710	-10	46024104	14538300	0	54	8	0	0	8	14538300	0	0
OR5H6	391500	849	-2	47457165	13479081	0	86	19	0	8	192	178717245	0	0
OR8D4	89099	736	-8	45297189	13458312	0	83	11	0	2	33	41849535	0	0
OTUD5	834315	NaN	40	83906760	25379718	0	43	20	0	1	40	62057772	0	0
