Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	DNA repair	28	13.14553991	3.84E-18	"NBN, MLH1, CHEK2, MUTYH, ERCC5, FANCE, PMS2, FANCF, FANCG, PALB2, ERCC3, ERCC4, FANCA, ERCC2, FANCC, MSH6, MSH2, POLE, BRIP1, BRCA2, ATR, WRN, BRCA1, ATRX, XPA, XPC, FANCD2, UBR5"	213	293	20581	9.233732314	9.87E-16	1.64E-16	5.01E-15
UP_KEYWORDS	DNA damage	30	14.08450704	4.30E-18	"NBN, STK11, MLH1, CHEK2, MUTYH, ERCC5, PMS2, FANCE, FANCF, FANCG, PALB2, ERCC3, ERCC4, FANCA, ERCC2, FANCC, MSH6, MSH2, POLE, BRCA2, BRIP1, ATR, WRN, BRCA1, ATM, ATRX, XPA, XPC, FANCD2, UBR5"	213	352	20581	8.235035211	1.11E-15	1.58E-16	5.61E-15
GOTERM_BP_DIRECT	GO:0008285~negative regulation of cell proliferation	33	15.49295775	3.48E-17	"HRAS, STK11, BAP1, CDC73, ARID2, PTEN, MEN1, TMEM127, CDKN2A, CDKN2C, SMARCB1, PBRM1, AXIN2, RBM10, APC, CEBPA, PHOX2B, AR, MAP2K1, NF2, VHL, SMAD4, BRIP1, SMAD2, RB1, STAT3, PPM1D, CDKN1B, TSC1, JUN, SFRP4, TSC2, MDM4"	212	396	16792	6.600628931	7.83E-14	7.83E-14	6.07E-14
UP_KEYWORDS	DNA-binding	64	30.04694836	6.08E-16	"MYOD1, HNF1A, MITF, CTCF, FUBP1, MEN1, GATA2, MAX, CDKN2A, PHOX2B, AR, POLE, RB1, SPEN, ARID1B, MYCL, MYCN, MAPK1, XPA, XPC, HIF1A, JUN, PRDM1, TNFAIP3, BLM, KMT2C, SOX2, ARID2, POT1, ERCC5, REL, DDX3X, SMARCB1, PBRM1, PALB2, ERCC3, ERCC4, CHD4, ERCC2, CEBPA, KLF6, DNMT3A, MSH6, MSH2, FOXA1, SMAD4, SMAD3, BRCA2, SMAD2, ATR, WRN, TET2, STAT3, BRCA1, ATM, ATRX, SALL4, HIST1H3B, H3F3A, H3F3B, NCOR1, ZFHX3, NCOR2, PHF6"	213	2050	20581	3.016567045	1.43E-13	1.79E-14	7.22E-13
GOTERM_BP_DIRECT	"GO:0045893~positive regulation of transcription, DNA-templated"	35	16.43192488	1.68E-15	"HNF1A, BLM, SOX2, MITF, CDH1, CTCF, CHEK2, SRC, CCNE1, CDKN2A, AXIN1, ERCC2, KLF6, AR, MAP2K1, VHL, MAP2K2, MED12, SMAD4, BRCA2, SMAD3, SMAD2, RB1, BRCA1, STAT3, MYCN, MAPK1, HIF1A, JUN, PTCH1, IKBKB, ZFHX3, SMARCA4, DNM2, ACVR1"	212	515	16792	5.383037186	3.75E-12	1.87E-12	2.90E-12
KEGG_PATHWAY	hsa05210:Colorectal cancer	19	8.920187793	2.25E-15	"MSH6, MAP2K1, MSH2, TGFBR2, SMAD4, SMAD3, MLH1, SMAD2, AKT1, MAPK1, KRAS, JUN, RAC1, PIK3CA, AXIN2, PIK3R1, AXIN1, AKT2, APC"	167	62	6879	12.6232374	4.42E-13	2.21E-13	2.78E-12
GOTERM_BP_DIRECT	GO:0006281~DNA repair	25	11.7370892	2.45E-15	"MSH6, NBN, BLM, MSH2, POLE, TRRAP, ATR, WRN, ATM, BRCA1, MEN1, ATRX, XPA, ERCC5, MUTYH, XPC, SMARCB1, FANCD2, UBR5, MTOR, FANCG, ERCC3, FANCA, ERCC4, FANCC"	212	235	16792	8.426334805	5.49E-12	1.83E-12	4.25E-12
KEGG_PATHWAY	hsa05220:Chronic myeloid leukemia	20	9.389671362	2.54E-15	"HRAS, MAP2K1, MAP2K2, TGFBR2, SMAD4, RB1, CDK4, PTPN11, AKT1, NRAS, MAPK1, CBLB, KRAS, CDKN1B, CDKN2A, MDM2, PIK3CA, IKBKB, PIK3R1, AKT2"	167	72	6879	11.44211577	5.08E-13	1.69E-13	3.20E-12
UP_KEYWORDS	Acetylation	84	39.43661972	3.32E-15	"MYOD1, XPO1, HRAS, MLH1, CTCF, PTEN, FUBP1, AKT1, MAX, SBDS, CDKN2A, CASP8, SMARCD1, U2AF1, RBM10, STAG2, AKT2, PPP2R1A, MED12, RB1, ARID1B, CDK4, MAPK1, XPA, HIF1A, JUN, UBR5, BUB1B, TNFAIP3, SMARCA4, PPP6C, BLM, STK11, KMT2C, CDC73, TRRAP, CALR, ARID2, SUFU, SF3B1, AMER1, ERCC5, KRAS, TMEM127, REL, DDX3X, IDH2, IDH1, PBRM1, RPL5, ERCC4, PIK3R1, CHD4, APC, FH, CEBPA, MSH6, LZTR1, MAP2K1, MSH2, MAP2K2, SMAD4, SMAD3, BRIP1, SMAD2, WRN, STAT3, BRCA1, ATM, PTPN11, ATRX, SDHA, NRAS, SRSF2, SDHB, HIST1H3B, H3F3A, H3F3B, MTOR, IKBKB, NCOR1, NCOR2, PHF6, DNM2"	213	3424	20581	2.370458734	8.56E-13	9.51E-14	4.34E-12
KEGG_PATHWAY	hsa05212:Pancreatic cancer	19	8.920187793	5.72E-15	"EGFR, MAP2K1, TGFBR2, SMAD4, SMAD3, BRCA2, SMAD2, RB1, CDK4, STAT3, AKT1, MAPK1, KRAS, CDKN2A, RAC1, PIK3CA, IKBKB, PIK3R1, AKT2"	167	65	6879	12.04062644	1.15E-12	2.87E-13	7.23E-12
KEGG_PATHWAY	hsa04550:Signaling pathways regulating pluripotency of stem cells	25	11.7370892	1.69E-14	"HRAS, FGFR4, HNF1A, IL6ST, SOX2, AKT1, KRAS, PIK3CA, AXIN2, PIK3R1, AXIN1, APC, AKT2, MAP2K1, MAP2K2, SMAD4, SMAD3, SMAD2, STAT3, NRAS, ACVR2A, MAPK1, JAK3, ZFHX3, ACVR1"	167	140	6879	7.355645851	3.36E-12	6.72E-13	2.11E-11
KEGG_PATHWAY	hsa05213:Endometrial cancer	17	7.981220657	3.12E-14	"EGFR, HRAS, MAP2K1, MAP2K2, MLH1, CDH1, PTEN, AKT1, NRAS, MAPK1, KRAS, PIK3CA, AXIN2, PIK3R1, AXIN1, AKT2, APC"	167	52	6879	13.4664901	6.21E-12	1.03E-12	3.91E-11
KEGG_PATHWAY	hsa05218:Melanoma	19	8.920187793	3.14E-14	"EGFR, HRAS, MAP2K1, MAP2K2, MITF, MET, CDH1, RB1, CDK4, PTEN, AKT1, NRAS, MAPK1, KRAS, CDKN2A, MDM2, PIK3CA, PIK3R1, AKT2"	167	71	6879	11.02310871	6.25E-12	8.93E-13	3.93E-11
INTERPRO	IPR011009:Protein kinase-like domain	32	15.02347418	5.20E-14	"FGFR4, ERBB3, STK11, CHEK2, TRRAP, KIT, DDR2, SRC, AKT1, CDK12, ETNK1, PIK3CA, PRKACA, AKT2, EGFR, MAP2K1, FLT3, MAP2K2, FLT4, TGFBR2, MET, ATR, CDK4, ATM, KDR, MAPK1, ACVR2A, BUB1B, JAK3, MTOR, IKBKB, ACVR1"	210	531	18559	5.325872119	3.13E-11	3.13E-11	7.68E-11
UP_KEYWORDS	Fanconi anemia	10	4.694835681	9.30E-14	"FANCD2, BRCA2, FANCE, BRIP1, FANCF, FANCG, PALB2, ERCC4, FANCA, FANCC"	213	19	20581	50.85495429	2.39E-11	2.39E-12	1.21E-10
KEGG_PATHWAY	hsa05211:Renal cell carcinoma	18	8.450704225	1.27E-13	"HRAS, MAP2K1, MAP2K2, VHL, MET, FLCN, PTPN11, AKT1, NRAS, MAPK1, HIF1A, KRAS, JUN, RAC1, PIK3CA, PIK3R1, AKT2, FH"	167	66	6879	11.2340773	2.52E-11	3.15E-12	1.59E-10
UP_KEYWORDS	Kinase	35	16.43192488	1.87E-13	"FGFR4, ERBB3, STK11, CHEK2, KIT, DDR2, SRC, AKT1, CDKN2A, CDKN2C, CDK12, ETNK1, PIK3CA, PRKACA, PIK3R1, AKT2, EGFR, MAP2K1, FLT3, MAP2K2, FLT4, MET, TGFBR2, ATR, CDK4, ATM, KDR, MAPK1, ACVR2A, CDKN1B, BUB1B, JAK3, MTOR, IKBKB, ACVR1"	213	735	20581	4.601162531	4.81E-11	4.37E-12	2.44E-10
GOTERM_BP_DIRECT	GO:0010628~positive regulation of gene expression	24	11.26760563	2.50E-13	"AR, HRAS, FGFR4, MAP2K1, ERBB3, MITF, SMAD3, CTCF, KIT, CALR, IL7R, STAT3, BRCA1, MYCN, FUBP1, DROSHA, SMO, HIF1A, KRAS, DDX3X, SFRP4, MDM2, PRDM1, MTOR"	212	262	16792	7.255653176	5.62E-10	1.41E-10	4.36E-10
KEGG_PATHWAY	hsa05161:Hepatitis B	24	11.26760563	3.50E-13	"HRAS, MAP2K1, MAP2K2, SMAD4, RB1, CDK4, PTEN, STAT3, SRC, AKT1, CCNE1, NRAS, MAPK1, MYD88, KRAS, CDKN1B, DDX3X, JUN, CASP8, PIK3CA, FAS, IKBKB, PIK3R1, AKT2"	167	145	6879	6.817922775	6.96E-11	7.73E-12	4.38E-10
KEGG_PATHWAY	hsa04068:FoxO signaling pathway	23	10.79812207	5.75E-13	"EGFR, HRAS, MAP2K1, STK11, MAP2K2, TGFBR2, SMAD4, SMAD3, SMAD2, IL7R, PTEN, STAT3, ATM, AKT1, NRAS, MAPK1, KRAS, CDKN1B, MDM2, PIK3CA, IKBKB, PIK3R1, AKT2"	167	134	6879	7.070202878	1.15E-10	1.15E-11	7.21E-10
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	27	12.67605634	1.09E-12	"HRAS, ERBB3, SRC, DROSHA, AKT1, KRAS, RAC1, PIK3CA, PRKACA, FAS, PIK3R1, AKT2, EGFR, MAP2K1, MAP2K2, MET, STAT3, KDR, PTPN11, SMO, NRAS, MAPK1, CBLB, HIF1A, MDM2, PTCH1, MTOR"	167	200	6879	5.560868263	2.17E-10	1.97E-11	1.37E-09
KEGG_PATHWAY	hsa05230:Central carbon metabolism in cancer	17	7.981220657	1.15E-12	"EGFR, HRAS, MAP2K1, FLT3, MAP2K2, MET, KIT, PTEN, AKT1, NRAS, MAPK1, HIF1A, KRAS, PIK3CA, MTOR, PIK3R1, AKT2"	167	64	6879	10.9415232	2.28E-10	1.90E-11	1.44E-09
KEGG_PATHWAY	hsa05214:Glioma	17	7.981220657	1.49E-12	"EGFR, HRAS, MAP2K1, MAP2K2, RB1, CDK4, PTEN, AKT1, NRAS, MAPK1, KRAS, CDKN2A, MDM2, PIK3CA, MTOR, PIK3R1, AKT2"	167	65	6879	10.77319208	2.97E-10	2.28E-11	1.87E-09
KEGG_PATHWAY	hsa05215:Prostate cancer	19	8.920187793	1.72E-12	"EGFR, AR, HRAS, MAP2K1, MAP2K2, RB1, PTEN, AKT1, CCNE1, NRAS, MAPK1, KRAS, CDKN1B, MDM2, PIK3CA, MTOR, IKBKB, PIK3R1, AKT2"	167	88	6879	8.893644529	3.42E-10	2.44E-11	2.15E-09
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	43	20.18779343	1.83E-12	"MYOD1, HRAS, HNF1A, SOX2, MITF, CTCF, CDC73, FLCN, MEN1, AKT1, GATA2, CDKN2A, DDX3X, REL, SMARCB1, ERCC3, PIK3R1, ERCC2, EGFR, CEBPA, PHOX2B, AR, FOXA1, MET, ASXL1, SMAD4, MED12, SMAD3, SMAD2, RB1, TET2, STAT3, BRCA1, MYCN, ATRX, SMO, ACVR2A, HIF1A, SALL4, JUN, IKBKB, SMARCA4, ACVR1"	212	981	16792	3.471890447	4.11E-09	8.21E-10	3.18E-09
KEGG_PATHWAY	hsa05221:Acute myeloid leukemia	16	7.511737089	2.00E-12	"CEBPA, HRAS, MAP2K1, MAP2K2, FLT3, KIT, STAT3, AKT1, NRAS, MAPK1, KRAS, PIK3CA, MTOR, IKBKB, PIK3R1, AKT2"	167	56	6879	11.76903336	3.99E-10	2.66E-11	2.51E-09
GOTERM_BP_DIRECT	GO:0007050~cell cycle arrest	18	8.450704225	2.29E-12	"HRAS, NBN, MAP2K1, STK11, MSH2, SOX2, SMAD3, RB1, CALR, ATM, CDKN1B, CDKN2A, TSC1, CDKN2C, TSC2, MTOR, ZFHX3, APC"	212	141	16792	10.11160177	5.14E-09	8.57E-10	3.99E-09
UP_KEYWORDS	Nucleotide-binding	53	24.88262911	3.96E-12	"HRAS, GNA11, DICER1, DDR2, AKT1, ATP2B3, NT5C2, CDK12, PIK3CA, PRKACA, AKT2, EGFR, CDK4, MAPK1, ACVR2A, GNAQ, BUB1B, GNAS, SMARCA4, ACVR1, FGFR4, BLM, STK11, ERBB3, KIT, CHEK2, SRC, KRAS, DDX3X, RAC1, ETNK1, ERCC3, CHD4, ERCC2, MSH6, MAP2K1, MAP2K2, FLT3, MSH2, FLT4, MET, TGFBR2, BRIP1, ATR, WRN, ATM, KDR, ATRX, NRAS, JAK3, MTOR, IKBKB, DNM2"	213	1788	20581	2.864146475	1.02E-09	8.49E-11	5.17E-09
KEGG_PATHWAY	hsa04662:B cell receptor signaling pathway	17	7.981220657	4.05E-12	"HRAS, MAP2K1, NFKBIE, MAP2K2, AKT1, CARD11, NRAS, MAPK1, KRAS, JUN, RAC1, PIK3CA, CD79B, CD79A, IKBKB, PIK3R1, AKT2"	167	69	6879	10.1486592	8.06E-10	5.04E-11	5.07E-09
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	36	16.90140845	5.14E-12	"XPO1, HNF1A, DICER1, MITF, SOX2, CTCF, CDC73, FLCN, CALR, SUFU, MEN1, GATA2, REL, RBM10, CHD4, CEBPA, DNMT3A, VHL, FOXA1, ASXL1, SMAD4, SMAD3, SMAD2, RB1, SPEN, STAT3, SMO, SALL4, MDM2, PTCH1, MDM4, PRDM1, ZFHX3, NCOR1, NCOR2, SMARCA4"	212	720	16792	3.960377358	1.16E-08	1.65E-09	8.96E-09
KEGG_PATHWAY	hsa03460:Fanconi anemia pathway	15	7.042253521	1.39E-11	"BLM, MLH1, BRCA2, BRIP1, ATR, BRCA1, FANCD2, FANCE, PMS2, FANCF, FANCG, PALB2, FANCA, ERCC4, FANCC"	167	53	6879	11.65800475	2.77E-09	1.63E-10	1.75E-08
